SELECT * FROM state_vectors_data4 v JOIN (SELECT MAX(time) AS recent, count(*) as cnt, icao24 FROM state_vectors_data4, state_vectors_data4.serials s WHERE hour=1480SELECT * FROM state_vectors_data4 v JOIN (SELECT MAX(time) AS recent, count(*) as cnt, icao24 FROM state_vectors_data4, state_vectors_data4.serials s WHERE hour=1480762800 AND s.ITEM=1344390019 GROUP BY icao24) AS m ON v.icao24=m.icao24 AND v.time=m.recent WHERE cnt>30 AND v.hour=1480762800;
+------------+--------+-------------------+----------------------+-------------------+--------------------+--------------------+----------+----------+-------+-------+--------+--------------------+-------------------+-------------------+-------------------+------------+------------+------+--------+
| time       | icao24 | lat               | lon                  | velocity          | heading            | vertrate           | callsign | onground | alert | spi   | squawk | baroaltitude       | geoaltitude       | lastposupdate     | lastcontact       | hour       | recent     | cnt  | icao24 |
| 1480766399 | 406a9e | 51.57499694824219 | 0.262706859691723    | 130.1705979875348 | 82.73455310016089  | -5.52704           | BAW276   | false    | false | false | 3244   | 3642.36            | 3779.52           | 1480766398.802    | 1480766398.802    | 1480762800 | 1480766399 | 482  | 406a9e |
| 1480763145 | 3c4dc6 | NULL              | NULL                 | NULL              | NULL               | NULL               | NULL     | false    | false | false | 7174   | 2887.98            | NULL              | NULL              | 1480763144.69     | 1480762800 | 1480763145 | 64   | 3c4dc6 |
| 1480766355 | 3c6515 | 50.23649597167969 | 9.019197162828947    | 229.91748046875   | 288.3966064453125  | 0                  | DLH460   | false    | false | false | 7672   | 10363.2            | 10233.66          | 1480766354.848    | 1480766354.848    | 1480762800 | 1480766355 | 448  | 3c6515 |
| 1480763772 | 3c6658 | 50.9485846050715  | 7.418975830078125    | 178.1559012765262 | 299.9706156499833  | -7.80288           | DLH2RX   | false    | false | false | 7177   | 2156.46            | 2552.7            | 1480763754.766    | 1480763766.019    | 1480762800 | 1480763772 | 558  | 3c6658 |
| 1480766399 | 4ca33e | 49.90910339355469 | 6.992870130037006    | 228.2769531282287 | 64.64768237306096  | 0                  | RYR94DH  | false    | false | false | 2344   | 2385.06            | 11170.92          | 1480766397.638    | 1480766398.999236 | 1480762800 | 1480766399 | 1180 | 4ca33e |
| 1480764998 | 4ca63b | 51.62768865035752 | 6.91650390625        | 214.54443359375   | 294.3511962890625  | 59.055             | EIN35Y   | false    | false | false | 7670   | 11582.4            | 11445.24          | 1480764997.422    | 1480764997.998    | 1480762800 | 1480764998 | 257  | 4ca63b |
| 1480766399 | a2e813 | 50.625            | 6.743601206186655    | 226.978515625     | 286.995849609375   | NULL               | AAL717   | false    | false | false | 7671   | 10972.8            | 10927.08          | 1480766398.035    | 1480766399        | 1480762800 | 1480766399 | 1235 | a2e813 |
| 1480766399 | 484006 | 48.27351379394531 | 11.65409968449519    | 268.8416616879798 | 139.2678933002908  | 0                  | KLM565   | false    | false | false | 3137   | 10668              | 10507.98          | 1480766397.912    | 1480766398.88     | 1480762800 | 1480766399 | 684  | 484006 |
| 1480764448 | 4ca855 | 49.85390873278602 | 7.170657596072635    | 88.34218347194903 | 32.3944226456154   | -4.22656           | RYR4373  | false    | false | false | 3563   | 1043.94            | 1104.9            | 1480764444.348    | 1480764447.951    | 1480762800 | 1480764448 | 486  | 4ca855 |
| 1480766395 | 44ce6b | 50.81781005859375 | 5.322430584881757    | 150.6978503700705 | 297.0024150445987  | -8.45312           | BEL85A   | false    | false | false | 1000   | 2895.6             | 2956.56           | 1480766394.009    | 1480766394.573    | 1480762800 | 1480766395 | 1245 | 44ce6b |
| 1480766399 | 3ff14d | NULL              | NULL                 | NULL              | NULL               | NULL               | DMZXI    | false    | false | false | 7070   | 822.96             | NULL              | NULL              | 1480766390.539    | 1480762800 | 1480766399 | 711  | 3ff14d |
| 1480766399 | 75028f | 48.48699537374205 | 15.99681653474507    | 279.7672100225942 | 114.2085298312886  | 0                  | MAS3     | false    | false | false | 7772   | 10668              | 10485.12          | 1480766397.409    | 1480766398.959    | 1480762800 | 1480766399 | 854  | 75028f |
| 1480766283 | 4ca542 | 45.65387273238877 | 9.781471252441406    | 79.50115778418547 | 285.3851883536536  | -3.90144           | RYR94K   | false    | false | false | 2544   | 411.48             | 480.06            | 1480766278.099    | 1480766281.629    | 1480762800 | 1480766283 | 930  | 4ca542 |
| 1480765743 | 3c55a3 | 48.36296081542969 | 11.76987868088942    | 63.68517520984927 | 83.50647468746074  | -3.90144           | DLH2EL   | false    | false | false | 1000   | 365.76             | 525.78            | 1480765742.211    | 1480765742.967    | 1480762800 | 1480765743 | 445  | 3c55a3 |
| 1480766322 | 3d201d | NULL              | NULL                 | NULL              | NULL               | NULL               | DEKKJ    | false    | false | false | 7070   | 952.5              | NULL              | NULL              | 1480766308.636    | 1480762800 | 1480766322 | 758  | 3d201d |
